combo,yc_thresh,btts_home,btts_away,weeks,win_rate,avg_odds,ev
HA+BTTS,4.5,2.0,1.3,196,0.332,2.697,0.895
HA+BTTS,5.0,2.0,1.3,196,0.332,2.697,0.895
HA+BTTS,5.5,2.0,1.3,196,0.332,2.697,0.895
HA+BTTS,6.0,2.0,1.3,196,0.332,2.697,0.895
HA+BTTS,3.5,1.5,1.3,197,0.33,2.696,0.89
HA+BTTS,4.0,1.5,1.3,197,0.33,2.696,0.89
HA+BTTS,4.5,1.5,1.3,197,0.33,2.696,0.89
HA+BTTS,5.0,1.5,1.3,197,0.33,2.696,0.89
HA+BTTS,5.5,1.5,1.3,197,0.33,2.696,0.89
HA+BTTS,6.0,1.5,1.3,197,0.33,2.696,0.89
HA+YC,6.0,1.5,1.3,164,0.616,1.922,1.184
HA+YC,6.0,1.5,1.5,164,0.616,1.922,1.184
HA+YC,6.0,1.5,1.8,164,0.616,1.922,1.184
HA+YC,6.0,1.8,1.3,164,0.616,1.922,1.184
HA+YC,6.0,1.8,1.5,164,0.616,1.922,1.184
HA+YC,6.0,1.8,1.8,164,0.616,1.922,1.184
HA+YC,6.0,2.0,1.3,164,0.616,1.922,1.184
HA+YC,6.0,2.0,1.5,164,0.616,1.922,1.184
HA+YC,6.0,2.0,1.8,164,0.616,1.922,1.184
HA+YC,5.5,1.5,1.3,185,0.605,1.928,1.167
HA+YC,5.5,1.5,1.5,185,0.605,1.928,1.167
HA+YC,5.5,1.5,1.8,185,0.605,1.928,1.167
HA+YC,5.5,1.8,1.3,185,0.605,1.928,1.167
HA+YC,5.5,1.8,1.5,185,0.605,1.928,1.167
HA+YC,5.5,1.8,1.8,185,0.605,1.928,1.167
HA+YC,5.5,2.0,1.3,185,0.605,1.928,1.167
HA+YC,5.5,2.0,1.5,185,0.605,1.928,1.167
HA+YC,5.5,2.0,1.8,185,0.605,1.928,1.167
HA+YC,3.5,1.5,1.3,197,0.594,1.934,1.148
HA+YC,3.5,1.5,1.5,197,0.594,1.934,1.148
HA+YC,3.5,1.5,1.8,197,0.594,1.934,1.148
HA+YC,3.5,1.8,1.3,197,0.594,1.934,1.148
HA+YC,3.5,1.8,1.5,197,0.594,1.934,1.148
HA+YC,3.5,1.8,1.8,197,0.594,1.934,1.148
HA+YC,3.5,2.0,1.3,197,0.594,1.934,1.148
HA+YC,3.5,2.0,1.5,197,0.594,1.934,1.148
HA+YC,3.5,2.0,1.8,197,0.594,1.934,1.148
HA+YC,4.0,1.5,1.3,197,0.594,1.934,1.148
HA+YC,4.0,1.5,1.5,197,0.594,1.934,1.148
HA+YC,4.0,1.5,1.8,197,0.594,1.934,1.148
HA+YC,4.0,1.8,1.3,197,0.594,1.934,1.148
HA+YC,4.0,1.8,1.5,197,0.594,1.934,1.148
HA+YC,4.0,1.8,1.8,197,0.594,1.934,1.148
HA+YC,4.0,2.0,1.3,197,0.594,1.934,1.148
HA+YC,4.0,2.0,1.5,197,0.594,1.934,1.148
HA+YC,4.0,2.0,1.8,197,0.594,1.934,1.148
HA+YC,4.5,1.5,1.3,197,0.594,1.934,1.148
HA+YC,4.5,1.5,1.5,197,0.594,1.934,1.148
HA+YC,4.5,1.5,1.8,197,0.594,1.934,1.148
HA+YC,4.5,1.8,1.3,197,0.594,1.934,1.148
HA+YC,4.5,1.8,1.5,197,0.594,1.934,1.148
HA+YC,4.5,1.8,1.8,197,0.594,1.934,1.148
HA+YC,4.5,2.0,1.3,197,0.594,1.934,1.148
HA+YC,4.5,2.0,1.5,197,0.594,1.934,1.148
HA+YC,4.5,2.0,1.8,197,0.594,1.934,1.148
HA+YC,5.0,1.5,1.3,197,0.594,1.934,1.148
HA+YC,5.0,1.5,1.5,197,0.594,1.934,1.148
HA+YC,5.0,1.5,1.8,197,0.594,1.934,1.148
HA+YC,5.0,1.8,1.3,197,0.594,1.934,1.148
