week,date,match,actual,odds,correct,confidence,pin_prob_d,home_gf5,away_gf5,form_gap,home_dr10,away_dr10
2021-12-20/2021-12-26,2021-12-26,Brighton vs Brentford,H,3.49,False,15.1,0.28,0.4,1.6,-5,0.7,0.2
2021-12-27/2022-01-02,2022-01-02,Everton vs Brighton,A,3.08,False,17.3,0.31,1.0,1.0,-2,0.2,0.6
2022-01-10/2022-01-16,2022-01-15,Wolves vs Southampton,H,3.18,False,13.6,0.3,0.4,2.0,-1,0.3,0.4
2022-01-17/2022-01-23,2022-01-22,Leeds vs Newcastle,A,3.72,False,11.2,0.26,1.8,0.6,4,0.3,0.5
2022-01-31/2022-02-06,2022-02-05,Burnley vs Watford,D,3.27,True,15.7,0.3,0.4,0.6,1,0.6,0.1
2022-02-07/2022-02-13,2022-02-12,Watford vs Brighton,A,3.38,False,15.7,0.29,0.2,1.4,-5,0.2,0.7
2022-02-14/2022-02-20,2022-02-19,Southampton vs Everton,H,3.61,False,8.6,0.27,2.0,1.4,5,0.5,0.1
2022-02-21/2022-02-27,2022-02-23,Watford vs Crystal Palace,A,3.24,False,18.1,0.3,0.2,0.6,1,0.2,0.4
2022-02-28/2022-03-06,2022-03-05,Wolves vs Crystal Palace,A,3.08,False,18.2,0.32,1.0,1.2,0,0.1,0.4
2022-03-07/2022-03-13,2022-03-12,Brentford vs Burnley,H,3.2,False,15.5,0.31,0.8,1.0,-3,0.1,0.4
2022-04-04/2022-04-10,2022-04-10,Norwich vs Burnley,H,3.18,False,14.7,0.31,0.6,0.6,-2,0.2,0.2
2022-04-11/2022-04-17,2022-04-17,Newcastle vs Leicester,H,3.46,False,10.7,0.28,0.8,1.2,-4,0.1,0.3
2022-04-18/2022-04-24,2022-04-20,Newcastle vs Crystal Palace,H,3.24,False,13.7,0.3,0.8,1.4,-2,0.1,0.4
2022-04-25/2022-05-01,2022-04-30,Southampton vs Crystal Palace,A,3.35,False,14.1,0.29,0.8,0.8,0,0.2,0.4
2022-05-02/2022-05-08,2022-05-08,Leicester vs Everton,A,3.35,False,12.7,0.29,1.0,1.0,-2,0.3,0.1
2022-05-09/2022-05-15,2022-05-15,Aston Villa vs Crystal Palace,D,3.56,True,12.5,0.27,1.2,0.8,0,0.1,0.3
2022-05-16/2022-05-22,2022-05-19,Everton vs Crystal Palace,H,3.46,False,13.5,0.28,1.0,0.8,-1,0.2,0.4
2022-08-01/2022-08-07,2022-08-06,Leeds vs Wolves,H,3.33,False,13.5,0.29,0.8,1.0,2,0.3,0.2
2022-08-08/2022-08-14,2022-08-13,Wolves vs Fulham,D,3.24,True,18.5,0.3,1.2,2.0,1,0.2,1.0
2022-08-15/2022-08-21,2022-08-20,Crystal Palace vs Aston Villa,H,3.19,False,19.1,0.31,1.0,1.2,0,0.3,0.3
2022-08-22/2022-08-28,2022-08-28,Aston Villa vs West Ham,A,3.41,False,13.2,0.29,1.2,0.6,3,0.3,0.2
2022-08-29/2022-09-04,2022-09-03,Nott'm Forest vs Bournemouth,A,3.51,False,14.5,0.28,0.4,0.4,0,0.2,0.2
2022-09-12/2022-09-18,2022-09-18,Everton vs West Ham,H,3.39,False,17.2,0.29,0.8,0.6,0,0.5,0.2
2022-09-26/2022-10-02,2022-10-01,West Ham vs Wolves,H,3.42,False,15.0,0.29,0.6,0.4,-1,0.2,0.4
2022-10-03/2022-10-09,2022-10-09,Crystal Palace vs Leeds,H,3.68,False,14.5,0.27,1.4,1.2,0,0.4,0.4
2022-10-10/2022-10-16,2022-10-14,Brentford vs Brighton,H,3.52,False,10.2,0.28,1.4,2.0,-2,0.4,0.3
2022-10-17/2022-10-23,2022-10-18,Crystal Palace vs Wolves,H,3.21,False,18.4,0.3,0.8,0.4,0,0.4,0.3
2022-10-24/2022-10-30,2022-10-29,Brentford vs Wolves,D,3.5,True,13.8,0.28,0.6,0.4,2,0.4,0.2
2022-10-31/2022-11-06,2022-11-05,Nott'm Forest vs Brentford,D,3.43,True,16.4,0.29,0.4,0.8,0,0.2,0.5
2022-11-07/2022-11-13,2022-11-12,Bournemouth vs Everton,H,3.32,False,13.3,0.29,1.4,0.6,-3,0.4,0.3
2022-12-26/2023-01-01,2022-12-31,Bournemouth vs Crystal Palace,A,3.32,False,12.7,0.29,1.6,0.6,-3,0.3,0.2
2023-01-02/2023-01-08,2023-01-04,Southampton vs Nott'm Forest,A,3.52,False,12.3,0.28,0.8,0.8,-5,0.2,0.4
2023-01-09/2023-01-15,2023-01-14,Everton vs Southampton,A,3.48,False,14.4,0.28,0.6,0.8,1,0.2,0.2
2023-01-16/2023-01-22,2023-01-21,West Ham vs Everton,H,3.65,False,13.1,0.27,0.6,0.8,0,0.2,0.2
2023-01-30/2023-02-05,2023-02-05,Nott'm Forest vs Leeds,H,3.46,False,12.8,0.28,1.0,0.8,5,0.4,0.3
2023-02-06/2023-02-12,2023-02-11,West Ham vs Chelsea,D,3.37,True,14.0,0.29,1.0,0.4,0,0.2,0.3
2023-02-13/2023-02-19,2023-02-18,Everton vs Leeds,H,3.36,False,14.7,0.29,0.6,0.6,1,0.2,0.4
2023-02-20/2023-02-26,2023-02-25,West Ham vs Nott'm Forest,H,3.63,False,13.4,0.27,0.8,1.0,-3,0.3,0.4
2023-02-27/2023-03-05,2023-03-05,Nott'm Forest vs Everton,D,3.11,True,16.4,0.31,0.6,0.4,-1,0.3,0.1
2023-03-06/2023-03-12,2023-03-11,Everton vs Brentford,H,3.23,False,13.1,0.3,0.6,1.6,-5,0.2,0.4
2023-03-13/2023-03-19,2023-03-18,Wolves vs Leeds,A,3.25,False,17.4,0.3,0.6,0.6,0,0.2,0.4
2023-03-27/2023-04-02,2023-04-01,Crystal Palace vs Leicester,H,3.28,False,17.4,0.3,0.2,0.4,0,0.5,0.2
2023-04-03/2023-04-09,2023-04-05,West Ham vs Newcastle,A,3.46,False,13.5,0.28,1.2,1.2,-2,0.4,0.4
2023-04-10/2023-04-16,2023-04-15,Wolves vs Brentford,H,3.26,False,13.2,0.3,1.2,1.4,2,0.2,0.4
2023-04-17/2023-04-23,2023-04-23,Bournemouth vs West Ham,A,3.3,False,14.2,0.3,1.2,1.2,1,0.1,0.4
2023-04-24/2023-04-30,2023-04-25,Wolves vs Crystal Palace,H,3.15,False,10.8,0.31,1.4,2.0,-3,0.2,0.3
2023-05-01/2023-05-07,2023-05-01,Leicester vs Everton,D,3.48,True,13.7,0.28,1.0,0.6,2,0.2,0.4
2023-05-08/2023-05-14,2023-05-08,Nott'm Forest vs Southampton,H,3.6,False,12.4,0.27,1.2,1.0,2,0.2,0.3
2023-05-15/2023-05-21,2023-05-20,Wolves vs Everton,D,3.36,True,12.7,0.29,0.8,1.6,1,0.1,0.4
2023-08-07/2023-08-13,2023-08-12,Everton vs Fulham,A,3.45,False,10.0,0.28,1.8,2.0,1,0.4,0.1
2023-08-14/2023-08-20,2023-08-20,West Ham vs Chelsea,H,3.57,False,11.2,0.27,1.2,1.0,4,0.2,0.3
2023-08-21/2023-08-27,2023-08-26,Everton vs Wolves,A,3.32,False,11.7,0.29,0.4,0.4,3,0.3,0.1
2023-08-28/2023-09-03,2023-09-03,Crystal Palace vs Wolves,H,3.5,False,11.7,0.28,1.0,0.6,2,0.4,0.1
2023-09-18/2023-09-24,2023-09-23,Crystal Palace vs Fulham,D,3.54,True,14.0,0.27,1.2,1.0,0,0.3,0.2
2023-09-25/2023-10-01,2023-10-01,Nott'm Forest vs Brentford,D,3.29,True,13.1,0.3,1.2,1.4,2,0.3,0.3
2023-10-02/2023-10-08,2023-10-07,Crystal Palace vs Nott'm Forest,D,3.3,True,15.8,0.29,1.2,1.0,3,0.4,0.4
2023-10-16/2023-10-22,2023-10-21,Bournemouth vs Wolves,A,3.49,False,12.9,0.28,0.6,1.4,-3,0.3,0.3
2023-10-30/2023-11-05,2023-11-04,Burnley vs Crystal Palace,A,3.24,False,11.9,0.3,0.8,0.4,-2,0.1,0.3
2023-11-06/2023-11-12,2023-11-11,Crystal Palace vs Everton,A,3.2,False,17.5,0.3,0.8,1.2,0,0.3,0.2
2023-11-20/2023-11-26,2023-11-25,Luton vs Crystal Palace,H,3.41,False,14.3,0.28,0.8,1.0,-2,0.3,0.3
2023-11-27/2023-12-03,2023-12-02,Nott'm Forest vs Everton,A,3.31,False,11.6,0.29,1.6,1.0,-3,0.4,0.2
2023-12-04/2023-12-10,2023-12-06,Fulham vs Nott'm Forest,H,3.5,False,12.6,0.28,1.6,1.2,1,0.2,0.4
2023-12-11/2023-12-17,2023-12-17,West Ham vs Wolves,H,3.62,False,8.2,0.27,1.6,1.4,3,0.2,0.3
2023-12-18/2023-12-24,2023-12-21,Crystal Palace vs Brighton,D,3.47,True,13.5,0.28,1.0,1.6,-5,0.3,0.5
2023-12-25/2023-12-31,2023-12-26,Sheffield United vs Luton,A,3.32,False,13.1,0.29,0.4,1.6,-2,0.2,0.2
2024-01-01/2024-01-07,2024-01-02,West Ham vs Brighton,D,3.68,True,8.6,0.26,1.8,1.6,4,0.1,0.5
2024-01-29/2024-02-04,2024-02-01,Wolves vs Man United,A,3.51,False,7.2,0.28,1.8,1.2,5,0.2,0.2
2024-02-05/2024-02-11,2024-02-10,Fulham vs Bournemouth,H,3.6,False,13.9,0.27,0.8,1.2,0,0.2,0.3
2024-02-12/2024-02-18,2024-02-17,Nott'm Forest vs West Ham,H,3.5,False,13.6,0.28,1.6,0.6,1,0.2,0.3
2024-02-19/2024-02-25,2024-02-24,Crystal Palace vs Burnley,H,3.45,False,14.2,0.28,1.2,1.0,2,0.3,0.3
2024-02-26/2024-03-03,2024-03-02,Everton vs West Ham,A,3.57,False,15.4,0.27,0.8,1.0,0,0.5,0.3
2024-03-11/2024-03-17,2024-03-16,Burnley vs Brentford,H,3.72,False,12.9,0.26,0.6,1.2,0,0.3,0.1
2024-03-25/2024-03-31,2024-03-30,Nott'm Forest vs Crystal Palace,D,3.38,True,11.4,0.29,1.0,1.4,-1,0.2,0.2
2024-04-01/2024-04-07,2024-04-06,Wolves vs West Ham,A,3.61,False,11.9,0.27,0.8,2.0,1,0.2,0.4
2024-04-08/2024-04-14,2024-04-13,Nott'm Forest vs Wolves,D,3.57,True,12.3,0.27,1.2,0.8,1,0.3,0.1
2024-04-15/2024-04-21,2024-04-21,Everton vs Nott'm Forest,H,3.52,False,14.1,0.27,0.6,1.6,-2,0.4,0.3
2024-04-22/2024-04-28,2024-04-24,Wolves vs Bournemouth,A,3.53,False,11.5,0.27,0.8,1.4,-5,0.2,0.3
2024-08-12/2024-08-18,2024-08-17,Nott'm Forest vs Bournemouth,D,3.42,True,11.7,0.28,1.4,1.2,0,0.3,0.1
2024-08-19/2024-08-25,2024-08-24,Fulham vs Leicester,H,3.67,False,15.5,0.26,1.0,1.2,0,0.3,0.4
2024-08-26/2024-09-01,2024-08-31,Everton vs Bournemouth,A,3.38,False,12.6,0.29,0.6,0.8,2,0.1,0.3
2024-09-09/2024-09-15,2024-09-14,Fulham vs West Ham,D,3.53,True,10.2,0.27,1.4,1.6,1,0.3,0.1
2024-09-16/2024-09-22,2024-09-21,Southampton vs Ipswich,D,3.5,True,14.1,0.28,1.0,0.5,-1,0.1,0.5
2024-09-23/2024-09-29,2024-09-28,Nott'm Forest vs Fulham,A,3.32,False,13.8,0.29,1.2,1.4,1,0.3,0.4
2024-09-30/2024-10-06,2024-10-05,Leicester vs Bournemouth,H,3.63,False,9.8,0.27,1.4,1.4,-5,0.4,0.2
2024-10-14/2024-10-20,2024-10-19,Ipswich vs Everton,A,3.43,False,15.4,0.28,1.0,1.4,-1,0.57,0.3
2024-10-21/2024-10-27,2024-10-21,Nott'm Forest vs Crystal Palace,H,3.28,False,14.8,0.3,1.0,0.8,3,0.4,0.3
2024-10-28/2024-11-03,2024-11-02,Wolves vs Crystal Palace,D,3.34,True,11.2,0.29,1.6,0.4,-3,0.2,0.3
2024-11-04/2024-11-10,2024-11-09,Crystal Palace vs Fulham,A,3.44,False,13.9,0.28,0.8,1.4,-3,0.4,0.3
2024-11-18/2024-11-24,2024-11-23,Bournemouth vs Brighton,A,3.62,False,9.1,0.27,1.4,1.8,-3,0.2,0.4
2024-11-25/2024-12-01,2024-11-30,Crystal Palace vs Newcastle,D,3.52,True,15.4,0.27,1.0,1.0,-1,0.5,0.2
2024-12-02/2024-12-08,2024-12-03,Ipswich vs Crystal Palace,A,3.41,False,16.1,0.28,1.4,1.2,-1,0.5,0.5
2024-12-09/2024-12-15,2024-12-14,Nott'm Forest vs Aston Villa,H,3.38,False,13.7,0.29,1.0,1.2,-1,0.1,0.4
2024-12-16/2024-12-22,2024-12-22,Leicester vs Wolves,A,3.58,False,9.2,0.27,1.4,1.6,1,0.2,0.2
2024-12-23/2024-12-29,2024-12-26,Southampton vs West Ham,A,3.62,False,12.1,0.27,0.4,1.4,-3,0.2,0.3
2024-12-30/2025-01-05,2025-01-04,Southampton vs Brentford,A,3.59,False,11.6,0.27,0.2,1.2,-3,0.2,0.2
2025-01-13/2025-01-19,2025-01-19,Everton vs Tottenham,H,3.45,False,13.9,0.28,0.2,1.4,1,0.5,0.2
2025-01-20/2025-01-26,2025-01-26,Fulham vs Man United,A,3.48,False,9.5,0.28,2.0,1.2,4,0.6,0.1
2025-01-27/2025-02-02,2025-02-02,Arsenal vs Man City,H,3.63,False,10.7,0.26,1.8,3.4,-2,0.4,0.3
2025-02-10/2025-02-16,2025-02-14,Brighton vs Chelsea,H,3.65,False,11.1,0.27,1.2,1.8,-1,0.5,0.3
2025-02-17/2025-02-23,2025-02-22,Fulham vs Crystal Palace,A,3.52,False,10.5,0.27,1.6,1.6,0,0.4,0.2
2025-02-24/2025-03-02,2025-02-25,Wolves vs Fulham,A,3.36,False,12.0,0.29,1.0,1.2,-3,0.1,0.3
2025-03-03/2025-03-09,2025-03-08,Wolves vs Everton,D,3.15,True,10.0,0.31,1.0,2.2,-3,0.1,0.3
2025-03-10/2025-03-16,2025-03-15,Everton vs West Ham,D,3.3,True,11.6,0.29,1.6,0.8,1,0.4,0.1
2025-03-31/2025-04-06,2025-04-05,Everton vs Arsenal,D,3.39,True,13.4,0.28,1.0,0.8,-4,0.5,0.3
2025-04-14/2025-04-20,2025-04-19,Brentford vs Brighton,H,3.59,False,13.0,0.27,0.8,1.4,0,0.3,0.2
2025-04-28/2025-05-04,2025-05-03,Arsenal vs Bournemouth,A,3.63,False,11.1,0.27,2.0,1.0,3,0.5,0.4
2025-05-05/2025-05-11,2025-05-10,Fulham vs Everton,A,3.57,False,14.2,0.27,1.2,0.8,1,0.0,0.6
2025-05-12/2025-05-18,2025-05-18,West Ham vs Nott'm Forest,A,3.43,False,15.0,0.28,1.4,1.0,0,0.4,0.3
2025-05-19/2025-05-25,2025-05-20,Crystal Palace vs Wolves,H,3.37,False,10.4,0.29,1.0,1.6,-3,0.4,0.1
2025-08-11/2025-08-17,2025-08-17,Man United vs Arsenal,A,3.72,False,10.2,0.26,1.2,1.6,-4,0.2,0.4
2025-08-18/2025-08-24,2025-08-24,Crystal Palace vs Nott'm Forest,D,3.25,True,11.4,0.3,1.6,1.6,1,0.5,0.2
2025-08-25/2025-08-31,2025-08-31,Aston Villa vs Crystal Palace,A,3.69,False,13.5,0.26,0.6,1.6,-2,0.1,0.6
2025-09-08/2025-09-14,2025-09-13,Fulham vs Leeds,H,3.56,False,12.8,0.27,1.0,0.6,1,0.2,0.3
2025-09-15/2025-09-21,2025-09-20,Wolves vs Leeds,A,3.21,False,14.3,0.3,0.6,0.4,-3,0.1,0.3
2025-09-22/2025-09-28,2025-09-28,Aston Villa vs Fulham,H,3.15,False,14.5,0.31,0.2,1.2,-5,0.3,0.2
2025-09-29/2025-10-05,2025-10-05,Everton vs Crystal Palace,H,3.26,False,10.7,0.3,1.4,1.6,-3,0.3,0.5
2025-10-13/2025-10-19,2025-10-18,Brighton vs Newcastle,H,3.52,False,11.5,0.28,1.8,0.8,0,0.3,0.3
2025-10-20/2025-10-26,2025-10-26,Wolves vs Burnley,A,3.39,False,12.5,0.29,0.6,1.0,-2,0.3,0.1
2025-10-27/2025-11-02,2025-11-01,Fulham vs Wolves,H,3.54,False,13.9,0.27,1.2,1.0,1,0.2,0.3
2025-11-03/2025-11-09,2025-11-08,Everton vs Fulham,H,3.35,False,13.6,0.29,0.8,1.2,2,0.3,0.2
2025-11-17/2025-11-23,2025-11-22,Wolves vs Crystal Palace,A,3.62,False,11.2,0.27,0.6,1.2,-4,0.2,0.4
2025-11-24/2025-11-30,2025-11-29,Everton vs Newcastle,A,3.38,False,13.3,0.29,0.8,1.4,1,0.3,0.2
2025-12-01/2025-12-07,2025-12-02,Bournemouth vs Everton,A,3.36,False,12.0,0.29,1.4,1.0,-3,0.4,0.3
2025-12-08/2025-12-14,2025-12-14,Sunderland vs Newcastle,H,3.33,False,8.1,0.29,1.2,2.2,-5,0.3,0.1
2025-12-15/2025-12-21,2025-12-20,Leeds vs Crystal Palace,H,3.32,False,7.8,0.29,2.0,1.2,-4,0.2,0.2
2025-12-22/2025-12-28,2025-12-28,Crystal Palace vs Tottenham,A,3.34,False,12.8,0.29,1.0,1.2,2,0.2,0.2
2025-12-29/2026-01-04,2026-01-03,Wolves vs West Ham,H,3.44,False,14.1,0.28,0.8,1.0,-1,0.1,0.4
2026-01-05/2026-01-11,2026-01-06,West Ham vs Nott'm Forest,A,3.37,False,12.0,0.29,0.8,1.0,-2,0.4,0.0
